Year;Cars;Motorcycles;Bicycles
1905;0.3;0.2;18
1910;1.4;0.8;88
1915;2.1;0.8;
1920;6.7;2.7;125
1925;13.5;4.3;188
1930;27.6;9.1;215
1931;29.8;8.3;214
1932;31.9;9.5;217
1933;30.9;7.4;236
1934;31.8;7.9;248
1935;33.6;8.2;262
1936;32.5;6.8;285
1937;32.8;6.5;392
1938;34.3;6.7;324
1939;30.4;3.9;337
1940;17.5;4.3;358
1941;5.1;4.2;400
1942;5.4;4.4;388
1943;5.7;4.2;391
1944;5.8;4;380
1945;7;4.1;372
1946;24.6;5;365
1947;34.9;5.3;384
1948;40.9;7.2;397
1949;45.7;9.4;403
1950;50.9;14.4;413
1951;48.8;26.9;416
1952;53.7;34.9;411
1953;58.9;42.4;404
1954;65.2;47.5;399
1955;72.2;51.5;391
1956;80.5;54.2;379
1957;86.9;55.2;366
1958;85.4;54.2;351
1959;103.6;54.4;345
1960;113.4;54.5;349